num; time; fix; lat; lon; alt; times; timems
1; 2924; 0; 55.910648; 37.805382; 200.000000; 0; 0;
2; 3785; 0; 55.910648; 37.805382; 200.000000; 0; 0;
3; 4279; 0; 55.910648; 37.805382; 200.000000; 0; 0;
4; 4812; 0; 55.910648; 37.805382; 200.000000; 0; 0;
5; 5335; 0; 55.910648; 37.805382; 200.000000; 0; 0;
6; 5950; 0; 55.910648; 37.805382; 200.000000; 0; 0;
7; 6472; 0; 55.910648; 37.805382; 200.000000; 0; 0;
8; 7052; 0; 55.910648; 37.805382; 200.000000; 0; 0;
9; 7599; 0; 55.910648; 37.805382; 200.000000; 0; 0;
10; 8144; 0; 55.910648; 37.805382; 200.000000; 0; 0;
11; 8785; 0; 55.910648; 37.805382; 200.000000; 0; 0;
12; 9278; 0; 55.910648; 37.805382; 200.000000; 0; 0;
13; 9914; 0; 55.910648; 37.805382; 200.000000; 0; 0;
14; 10393; 0; 55.910648; 37.805382; 200.000000; 0; 0;
15; 11020; 0; 55.910648; 37.805382; 200.000000; 0; 0;
16; 11540; 0; 55.910648; 37.805382; 200.000000; 0; 0;
17; 12124; 0; 55.910648; 37.805382; 200.000000; 0; 0;
18; 12710; 0; 55.910648; 37.805382; 200.000000; 0; 0;
19; 13291; 0; 55.910648; 37.805382; 200.000000; 0; 0;
20; 13842; 0; 55.910648; 37.805382; 200.000000; 0; 0;
21; 14434; 0; 55.910648; 37.805382; 200.000000; 0; 0;
22; 15159; 0; 55.910648; 37.805382; 200.000000; 0; 0;
23; 15639; 0; 55.910648; 37.805382; 200.000000; 0; 0;
24; 16267; 0; 55.910648; 37.805382; 200.000000; 0; 0;
25; 16806; 0; 55.910648; 37.805382; 200.000000; 0; 0;
26; 17339; 0; 55.910648; 37.805382; 200.000000; 0; 0;
27; 17872; 0; 55.910648; 37.805382; 200.000000; 0; 0;
28; 18463; 0; 55.910648; 37.805382; 200.000000; 0; 0;
29; 19103; 0; 55.910648; 37.805382; 200.000000; 0; 0;
30; 19778; 0; 55.910648; 37.805382; 200.000000; 0; 0;
