num; time; accl1; accl2; accl3; gyro1; gyro2; gyro3; mag1; mag2; mag3
111;18344;53;-12;-1013;512;4779;3799;0;-19;-13
112;18460;47;-9;-997;443;4778;3795;-19;0;0
113;18604;41;-13;-993;502;4748;3805;-19;0;0
114;18720;51;-7;-996;485;4735;3806;0;-19;-13
115;18867;62;-9;-995;509;4789;3798;-19;0;0
116;18986;47;-11;-992;474;4719;3805;-19;-19;-13
117;19194;43;-3;-996;492;4731;3815;-19;0;0
118;19405;41;-10;-996;497;4752;3805;-19;-19;-13
119;19549;44;-13;-993;587;4748;3817;-19;-19;-13
120;19665;39;-18;-994;485;4749;3801;0;-19;-13
121;19865;41;-15;-991;490;4787;3797;-19;0;0
122;19981;49;-16;-995;522;4743;3805;-19;-19;-13
123;20126;46;-6;-994;515;4757;3804;-19;-19;-13
124;20242;40;-40;-996;512;4764;3807;0;-19;-13
125;20401;46;-17;-987;506;4751;3826;-19;-19;-13
126;20518;49;-16;-992;465;4774;3797;0;-19;-13
127;20661;50;-15;-998;498;4749;3802;0;-19;-13
128;20790;45;-11;-997;494;4760;3802;-19;0;0
129;20934;47;-14;-994;494;4753;3803;-19;0;0
130;21050;56;-17;-998;505;4769;3798;-19;-19;-13
131;21194;45;-13;-992;513;4749;3804;-19;-19;-13
132;21324;45;-8;-995;480;4767;3799;0;-19;-13
133;21524;46;-7;-993;495;4749;3808;0;0;-13
134;21640;42;-13;-987;529;4759;3808;-19;0;0
135;21784;45;-13;-996;500;4774;3814;-19;0;0
136;21900;49;-11;-996;537;4741;3807;0;-19;-13
137;22044;48;-19;-996;499;4755;3805;0;-19;-13
138;22159;59;-28;-991;450;4797;3847;-19;0;0
139;22303;39;-24;-996;525;4741;3807;-19;0;0
140;22445;45;-31;-1003;508;4751;3805;-19;0;0
141;22589;53;23;-1031;452;4825;3756;-19;0;0
142;22705;69;-15;-996;517;4684;3807;0;-19;-13
143;22919;54;3;-996;501;4761;3801;0;-19;-13
144;23036;60;-11;-1001;500;4760;3801;-19;0;0
145;23179;53;-5;-996;538;4732;3806;-19;0;0
146;23295;58;-11;-1000;455;4779;3797;-19;-19;-13
147;24217;25;-46;-978;482;4767;3799;0;-19;-13
148;24333;30;-14;-965;609;4748;3813;0;0;0
149;24476;43;-18;-989;547;4731;3806;0;0;0
150;24592;47;18;-970;415;4799;3790;-19;0;0
151;24793;53;-17;-1001;492;4762;3801;0;-19;-13
152;24909;39;-5;-993;507;4743;3802;0;0;0
153;25066;50;-10;-997;458;4771;3800;0;-19;-13
154;25195;48;-18;-991;495;4754;3804;-19;0;0
155;25395;38;-19;-996;605;4693;3817;-19;-19;-13
156;25511;54;-8;-1001;492;4756;3801;0;-19;-13
157;25655;44;-20;-987;488;4760;3802;0;-19;-13
158;25771;46;-17;-1006;504;4759;3801;-19;0;0
159;25916;51;-10;-1000;493;4756;3802;-19;0;0
160;26032;40;1;-994;501;4747;3803;-19;0;0
161;26176;53;-15;-1007;495;4760;3803;-19;0;0
162;26309;48;-10;-988;482;4811;3803;-19;0;0
163;26513;50;-9;-995;491;4745;3803;-19;0;0
164;26636;41;-14;-997;459;4684;3805;0;0;0
165;26838;46;-8;-996;511;4793;3803;-19;0;0
166;26955;51;-12;-992;505;4729;3804;-19;-19;-13
167;27099;57;16;-991;491;4760;3803;-19;-19;-13
168;27215;54;-12;-993;495;4752;3802;0;-19;-13
169;27374;54;-10;-992;499;4758;3801;-19;-19;-13
170;27491;52;-20;-1005;469;4775;3800;0;-19;-13
171;27635;50;-12;-1000;492;4751;3804;0;-19;-13
172;27752;47;-12;-996;492;4744;3802;0;0;0
173;27897;47;-37;-988;519;4755;3803;0;0;0
174;28027;52;-14;-998;497;4759;3804;-19;0;0
175;28170;41;-6;-993;497;4755;3803;-19;0;0
176;28382;50;-10;-991;501;4767;3804;-19;-19;-13
177;28665;48;-11;-1001;488;4760;3802;0;0;0
178;28780;45;-22;-1003;492;4760;3802;-19;0;0
179;28924;43;-12;-989;513;4746;3805;-19;0;0
180;29040;50;-13;-990;498;4759;3802;0;-19;-13
181;29184;39;-14;-1005;496;4753;3803;0;-19;-13
182;29299;38;-17;-993;535;4734;3806;-19;0;0
183;29443;44;-20;-986;487;4760;3802;-19;0;0
184;29572;55;-5;-996;496;4759;3802;-19;-19;-13
185;29855;40;-30;-992;512;4749;3804;0;-19;-13
186;29972;51;-6;-1004;398;4811;3793;-19;0;0
187;30172;65;-3;-1001;496;4765;3803;-19;-19;-13
188;30288;50;4;-1003;507;4749;3805;0;-19;-13
189;30445;43;-23;-992;498;4759;3799;0;-19;-13
190;30561;78;0;-994;536;4726;3793;0;0;0
191;30776;45;-11;-993;496;4763;3802;-19;0;0
192;30892;39;-14;-1001;488;4791;3800;-19;-19;-13
193;31041;76;-59;-979;494;4792;3783;0;0;0
194;31157;45;-23;-992;499;4754;3802;-19;0;0
195;31301;41;-13;-994;496;4753;3805;-19;-19;-13
