"Number";"Time_ms";"Fix";"Latitude";"Longitude";"Height";"Time, s";"Time, mks";"crc"
352;81353;0;nan;nan;nan;44292;0;31088;
355;81990;0;nan;nan;nan;44293;0;4798;
358;82605;0;nan;nan;nan;44293;0;45427;
359;82821;0;nan;nan;nan;44293;0;11594;
361;83237;0;nan;nan;nan;44294;0;17240;
367;85071;0;nan;nan;nan;44296;0;30420;
370;85703;0;nan;nan;nan;44296;0;12261;
371;85911;0;nan;nan;nan;44297;0;58117;
375;86715;0;nan;nan;nan;44297;0;18665;
379;87537;0;nan;nan;nan;44298;0;6247;
385;88777;0;nan;nan;nan;44299;0;2765;
387;89194;0;nan;nan;nan;44300;0;10721;
389;89609;0;nan;nan;nan;44300;0;56974;
391;90006;0;nan;nan;nan;44301;0;48833;
394;91237;0;nan;nan;nan;44302;0;53525;
400;92475;0;nan;nan;nan;44303;0;52305;
403;93103;0;nan;nan;nan;44304;0;13020;
406;93720;0;nan;nan;nan;44304;0;4420;
409;94344;0;nan;nan;nan;44305;0;27564;
412;94953;0;nan;nan;nan;44305;0;47516;
415;95565;0;nan;nan;nan;44306;0;33209;
418;96204;0;nan;nan;nan;44307;0;53907;
419;96416;0;nan;nan;nan;44307;0;53854;
424;98067;0;nan;nan;nan;44309;0;33882;
427;98675;0;nan;nan;nan;44309;0;46876;
430;99282;0;nan;nan;nan;44310;0;10915;
435;100312;0;nan;nan;nan;44311;0;64392;
436;100508;0;nan;nan;nan;44311;0;56612;
439;101131;0;nan;nan;nan;44312;0;48939;
440;101338;0;nan;nan;nan;44312;0;14471;
445;102403;0;nan;nan;nan;44313;0;28166;
447;102805;0;nan;nan;nan;44313;0;54870;
448;103617;0;nan;nan;nan;44314;0;58097;
450;104023;0;nan;nan;nan;44315;0;54190;
451;104252;0;nan;nan;nan;44315;0;9820;
457;105463;0;nan;nan;nan;44316;0;50987;
460;106080;0;nan;nan;nan;44317;0;28116;
466;107339;0;nan;nan;nan;44318;0;22570;
469;107969;0;nan;nan;nan;44319;0;7281;
472;108580;0;nan;nan;nan;44319;0;42106;
478;110405;0;nan;nan;nan;44321;0;32894;
481;111032;0;nan;nan;nan;44322;0;33729;
487;112301;0;nan;nan;nan;44323;0;36282;
490;112914;0;nan;nan;nan;44323;0;12164;
493;113532;0;nan;nan;nan;44324;0;13677;
496;114137;0;nan;nan;nan;44325;0;60864;
497;114362;0;nan;nan;nan;44325;0;41207;
498;114558;0;nan;nan;nan;44325;0;40643;
505;116594;0;nan;nan;nan;44327;0;42125;
508;117229;0;nan;nan;nan;44328;0;24816;
512;118060;0;nan;nan;nan;44329;0;58478;
514;118456;0;nan;nan;nan;44329;0;40885;
517;119070;0;nan;nan;nan;44330;0;27397;
523;120300;0;nan;nan;nan;44331;0;41769;
526;120927;0;nan;nan;nan;44332;0;56205;
528;121340;0;nan;nan;nan;44332;0;14407;
529;121554;0;nan;nan;nan;44332;0;63027;
535;123413;0;nan;nan;nan;44334;0;29181;
541;124629;0;nan;nan;nan;44335;0;51852;
543;125044;0;nan;nan;nan;44336;0;36815;
544;125247;0;nan;nan;nan;44336;0;57462;
547;125866;0;nan;nan;nan;44337;0;4415;
549;126276;0;nan;nan;nan;44337;0;58392;
550;126484;0;nan;nan;nan;44337;0;44395;
553;127100;0;nan;nan;nan;44338;0;17820;
559;128956;0;nan;nan;nan;44340;0;20984;
562;129576;0;nan;nan;nan;44340;0;2103;
563;129790;0;nan;nan;nan;44341;0;21237;
565;130200;0;nan;nan;nan;44341;0;40652;
568;130819;0;nan;nan;nan;44341;0;26771;
570;131227;0;nan;nan;nan;44342;0;46652;
571;131434;0;nan;nan;nan;44342;0;21865;
577;132656;0;nan;nan;nan;44343;0;14668;
580;133302;0;nan;nan;nan;44344;0;1447;
583;133910;0;nan;nan;nan;44345;0;9491;
586;135123;0;nan;nan;nan;44346;0;54159;
590;135963;0;nan;nan;nan;44347;0;41612;
595;137000;0;nan;nan;nan;44348;0;50510;
598;137610;0;nan;nan;nan;44348;0;32533;
601;138217;0;nan;nan;nan;44349;0;57276;
604;138838;0;nan;nan;nan;44350;0;2044;
605;139052;0;nan;nan;nan;44350;0;14645;
613;141319;0;nan;nan;nan;44352;0;25941;
616;142023;0;nan;nan;nan;44353;0;44113;
617;142241;0;nan;nan;nan;44353;0;22441;
619;142635;0;nan;nan;nan;44353;0;58085;
622;143294;0;nan;nan;nan;44354;0;18290;
628;144560;0;nan;nan;nan;44355;0;9848;
630;144967;0;nan;nan;nan;44356;0;30832;
631;145166;0;nan;nan;nan;44356;0;3029;
634;145786;0;nan;nan;nan;44357;0;64345;
635;146002;0;nan;nan;nan;44357;0;60424;
640;147008;0;nan;nan;nan;44358;0;9044;
644;148441;0;nan;nan;nan;44359;0;2313;
649;149492;0;nan;nan;nan;44360;0;38081;
652;150095;0;nan;nan;nan;44361;0;24323;
658;151317;0;nan;nan;nan;44362;0;50069;
666;152961;0;nan;nan;nan;44364;0;5822;
667;153163;0;nan;nan;nan;44364;0;66;
670;154392;0;nan;nan;nan;44365;0;45411;
673;155027;0;nan;nan;nan;44366;0;22904;
682;156871;0;nan;nan;nan;44368;0;48175;
685;157478;0;nan;nan;nan;44368;0;26672;
694;159363;0;nan;nan;nan;44370;0;26207;
697;160584;0;nan;nan;nan;44371;0;61271;
700;161196;0;nan;nan;nan;44372;0;52122;
703;161821;0;nan;nan;nan;44373;0;41070;
709;163052;0;nan;nan;nan;44374;0;40473;
713;163890;0;nan;nan;nan;44375;0;58204;
715;164333;0;nan;nan;nan;44375;0;18825;
721;165563;0;nan;nan;nan;44376;0;32763;
724;166784;0;nan;nan;nan;44377;0;48778;
736;169257;0;nan;nan;nan;44380;0;7958;
742;170482;0;nan;nan;nan;44381;0;48929;
744;170891;0;nan;nan;nan;44382;0;43182;
745;171095;0;nan;nan;nan;44382;0;1756;
748;171721;0;nan;nan;nan;44383;0;64450;
753;173350;0;nan;nan;nan;44384;0;28494;
754;173551;0;nan;nan;nan;44384;0;6852;
757;174190;0;nan;nan;nan;44385;0;19086;
760;174808;0;nan;nan;nan;44386;0;61870;
763;175431;0;nan;nan;nan;44386;0;32575;
766;176051;0;nan;nan;nan;44387;0;47762;
767;176260;0;nan;nan;nan;44387;0;40103;
769;176654;0;nan;nan;nan;44387;0;60401;
775;177913;0;nan;nan;nan;44389;0;60899;
778;178518;0;nan;nan;nan;44389;0;10375;
781;179734;0;nan;nan;nan;44391;0;7593;
784;180359;0;nan;nan;nan;44391;0;62529;
787;180983;0;nan;nan;nan;44392;0;61424;
799;183454;0;nan;nan;nan;44394;0;39629;
802;184065;0;nan;nan;nan;44395;0;385;
804;184489;0;nan;nan;nan;44395;0;62296;
805;184703;0;nan;nan;nan;44395;0;44029;
806;184914;0;nan;nan;nan;44396;0;3899;
808;185927;0;nan;nan;nan;44397;0;64285;
814;187163;0;nan;nan;nan;44398;0;61135;
817;187782;0;nan;nan;nan;44399;0;58633;
818;187989;0;nan;nan;nan;44399;0;16971;
820;188415;0;nan;nan;nan;44399;0;25550;
823;189020;0;nan;nan;nan;44400;0;43114;
835;192875;0;nan;nan;nan;44404;0;13258;
838;193493;0;nan;nan;nan;44404;0;18355;
841;194096;0;nan;nan;nan;44405;0;64673;
843;194502;0;nan;nan;nan;44405;0;1804;
844;194706;0;nan;nan;nan;44406;0;36495;
849;195743;0;nan;nan;nan;44407;0;10976;
853;196570;0;nan;nan;nan;44407;0;50818;
856;197279;0;nan;nan;nan;44408;0;51507;
862;199115;0;nan;nan;nan;44410;0;9478;
864;199520;0;nan;nan;nan;44410;0;59833;
868;200357;0;nan;nan;nan;44411;0;50466;
871;200963;0;nan;nan;nan;44412;0;44207;
873;201383;0;nan;nan;nan;44412;0;55371;
877;202226;0;nan;nan;nan;44413;0;4689;
879;202637;0;nan;nan;nan;44413;0;45663;
883;203446;0;nan;nan;nan;44414;0;34207;
889;205312;0;nan;nan;nan;44416;0;28796;
892;205913;0;nan;nan;nan;44417;0;31021;
895;206542;0;nan;nan;nan;44417;0;34644;
898;207163;0;nan;nan;nan;44418;0;27716;
901;207768;0;nan;nan;nan;44419;0;32662;
904;208399;0;nan;nan;nan;44419;0;42555;
913;210232;0;nan;nan;nan;44421;0;23479;
919;212093;0;nan;nan;nan;44423;0;63441;
922;212712;0;nan;nan;nan;44424;0;30576;
925;213316;0;nan;nan;nan;44424;0;26723;
937;215771;0;nan;nan;nan;44427;0;24958;
938;215978;0;nan;nan;nan;44427;0;49584;
943;217023;0;nan;nan;nan;44428;0;60512;
946;218254;0;nan;nan;nan;44429;0;40321;
952;219469;0;nan;nan;nan;44430;0;1410;
957;220527;0;nan;nan;nan;44431;0;29747;
961;221377;0;nan;nan;nan;44432;0;30175;
964;222005;0;nan;nan;nan;44433;0;62918;
970;223228;0;nan;nan;nan;44434;0;52365;
972;224260;0;nan;nan;nan;44435;0;36513;
979;225684;0;nan;nan;nan;44437;0;38031;
985;226932;0;nan;nan;nan;44438;0;41008;
994;228777;0;nan;nan;nan;44440;0;61838;
996;229189;0;nan;nan;nan;44440;0;19131;
997;229389;0;nan;nan;nan;44440;0;34936;
1003;231242;0;nan;nan;nan;44442;0;55303;
1015;233719;0;nan;nan;nan;44445;0;44658;
1021;234936;0;nan;nan;nan;44446;0;37707;
1027;236183;0;nan;nan;nan;44447;0;27549;
1033;238051;0;nan;nan;nan;44449;0;38122;
1039;239278;0;nan;nan;nan;44450;0;52361;
1042;239909;0;nan;nan;nan;44451;0;30798;
1045;240524;0;nan;nan;nan;44451;0;22273;
1047;240937;0;nan;nan;nan;44452;0;44296;
1048;241139;0;nan;nan;nan;44452;0;64907;
1051;241759;0;nan;nan;nan;44453;0;58603;
