"Number";"Time_ms";"VectorX";"VectorY";"VectorZ";"DeltaStep";"KsiServo";"crc"
326;75459;-3.3652172316882574e-17;-1.0;1.7603970049777325e-22;-76.93524169921875;-4.9031596183776855;62723;
329;76067;5.6621241297497e-38;-1.0;6.290298414524803e-14;-72.20761108398438;-6.494862079620361;1828;
331;76476;-0.0;0.0;0.0;14.228469848632812;-7.321071147918701;23801;
332;76681;-1.0;8.088370552890517e-18;0.0;23.709463119506836;-10.876714706420898;18842;
334;77085;-0.0;0.0;-0.0;107.26304626464844;-21.1250057220459;53213;
335;77290;-1.1841269771442404e-36;1.0;-1.7016250282881349e-15;161.17971801757812;-21.806568145751953;14186;
337;78302;0.0;-0.0;0.0;-43.077850341796875;-25.283464431762695;11721;
340;78964;2.7046410062083325e-27;-1.0;-5.764582252994413e-36;-35.085960388183594;-5.876706123352051;7457;
341;79173;-1.0;-2.403587995303269e-09;-3.800224837504501e-13;-40.649227142333984;-10.489554405212402;23056;
347;80397;-0.0;0.0;0.0;96.9698715209961;-15.057345390319824;55867;
348;80595;1.0;9.440448422992631e-08;-2.63098513109258e-15;107.11880493164062;-14.888228416442871;47283;
352;81448;1.0;1.5706197453724258e-09;-1.3288241866443344e-35;110.81240844726562;-19.46150016784668;11849;
353;81647;0.0;0.0;-0.0;113.19697570800781;-18.76240348815918;145;
355;82074;-0.0;0.0;0.0;110.71401977539062;-19.86480140686035;32250;
356;82274;-0.0;0.0;-0.0;111.3231201171875;-21.363059997558594;53611;
357;82476;4.6762076283832484e-33;1.0;-1.9084551489698308e-36;114.68603515625;-21.800457000732422;52033;
358;82683;-0.0;0.0;0.0;114.57319641113281;-20.093732833862305;59121;
361;83311;-4.30331583746014e-38;1.0;1.2581859014221977e-35;111.98229217529297;-20.726518630981445;17270;
362;83512;-1.2371727919575474e-35;1.2238230177527565e-14;-1.0;113.88675689697266;-20.990175247192383;18819;
364;84522;1.82939463185477e-26;1.906768215542698e-10;-1.0;158.3792266845703;-13.664867401123047;46424;
365;84728;-3.1520699991169613e-31;1.0;-1.210651578986699e-08;134.20602416992188;-13.654828071594238;10122;
367;85147;1.13776352950417e-27;1.0;8.917806926609054e-37;126.5307388305664;-18.68368911743164;30978;
368;85361;0.0;0.0;0.0;121.28601837158203;-17.108457565307617;45615;
370;85779;4.221416272098821e-11;8.617091992725224e-18;1.0;92.54039001464844;-17.393423080444336;28080;
371;85981;nan;nan;nan;78.21273040771484;-13.418933868408203;15948;
373;86384;1.4286667910137483e-34;0.2223505824804306;-0.9749667644500732;119.8700180053711;-52.839820861816406;23754;
374;86587;-0.0;0.0;-0.0;98.95621490478516;-71.07412719726562;46331;
376;86990;-9.444267590197342e-10;1.0;-5.535704117320961e-10;64.79110717773438;-60.101837158203125;58720;
377;87206;1.274423699802721e-21;1.0;1.0441379316716848e-07;39.46939468383789;-33.40675354003906;36122;
379;87610;-6.755535317427522e-23;5.7012096432718096e-11;-1.0;23.10149574279785;-31.01125144958496;50532;
383;88449;-0.0;-0.0;-0.0;-1.1991159915924072;-32.13520431518555;10548;
385;88849;0.0;0.0;0.0;0.6887566447257996;-47.20492172241211;45709;
388;89476;-1.0;1.990668039297816e-07;0.0;4.524173259735107;-79.68340301513672;45457;
389;89678;0.0;0.0;0.0;8.7030668258667;-73.80118560791016;36386;
391;90079;0.0;0.0;0.0;9.180380821228027;-76.52826690673828;22279;
397;91943;0.0;-0.0;-0.0;-28.341766357421875;-46.78987503051758;4600;
398;92148;-2.5442496156468557e-35;-1.0;-1.1879812447531423e-17;-28.984167098999023;-45.215572357177734;43489;
400;92548;6.882486141831522e-17;-1.0;-5.3453302825801075e-05;-27.816802978515625;-47.815181732177734;41955;
404;93385;-1.0;-5.8970523776624706e-12;-9.946338208438471e-23;-11.519281387329102;-13.04499340057373;47611;
407;93998;-0.0;-0.0;-0.0;-6.529476642608643;-62.09824752807617;711;
408;94203;0.0;-6.900321286584798e-11;1.0;-12.946722984313965;-58.91843032836914;56768;
413;95231;0.0;-2.8961413267580838e-09;-1.0;-59.98639678955078;-9.690789222717285;49943;
416;95845;1.6519886969490472e-07;-0.002277340041473508;0.9999974370002747;-65.82772064208984;-9.38973617553711;1663;
417;96066;2.4257224140455946e-06;-1.0;-2.3879390217971363e-29;-58.51824951171875;-11.964770317077637;6560;
418;96281;0.9999998211860657;-7.406348451199918e-11;-0.000535172934178263;-51.754615783691406;-12.111456871032715;18711;
419;96485;2.687915062510489e-15;-1.0;-1.5827212133846368e-37;-64.03230285644531;-8.619739532470703;24389;
421;97517;0.9999991655349731;-0.0012521229218691587;2.956824049501626e-19;-87.05660247802734;-17.868837356567383;14156;
424;98144;-0.0;-0.0;-0.0;-48.46556091308594;-10.490540504455566;35992;
425;98344;1.7247217543037152e-11;-1.0;1.6996216933851116e-10;-60.46684646606445;-11.660130500793457;22517;
428;98951;-1.3511046661339946e-33;-0.0003130573604721576;-1.0;-58.75070571899414;-9.157906532287598;5278;
429;99160;-0.0;-0.0;0.0;-53.15764617919922;-9.766644477844238;33774;
430;99355;8.188542642058572e-19;-0.84800124168396;0.5299941897392273;-43.12548828125;-14.272266387939453;15260;
431;99556;4.067859557236509e-26;-1.0;0.0;-47.93663787841797;-15.877219200134277;55376;
433;99973;-0.0;-0.0;0.0;-49.914306640625;-13.345488548278809;33960;
434;100177;-0.0;-0.0;0.0;-46.34911346435547;-14.57016372680664;58926;
436;100581;-0.0;-0.0;0.0;-51.58271408081055;-10.766487121582031;4425;
437;100802;-1.3931230239448242e-31;-1.0;-6.384262362628096e-21;-40.70559310913086;-8.594677925109863;28713;
439;101207;-0.08493319153785706;-0.9963866472244263;-3.0630363086962646e-16;-51.631832122802734;-10.957082748413086;21930;
440;101425;0.8476136326789856;-0.006312809884548187;-0.5305763483047485;-30.659263610839844;-12.58255386352539;10701;
443;102078;-2.434226431535791e-12;-4.2404075806246055e-09;1.0;-36.62198257446289;-9.819903373718262;41076;
445;102479;0.0;-0.0;0.0;-23.976749420166016;-6.338225841522217;35772;
446;102679;-6.716012624101026e-30;1.0;-7.521589623228019e-31;1.5783065557479858;-8.29516887664795;9103;
448;103690;-1.1197558102717253e-24;-7.818132197733092e-19;-1.0;-36.24637222290039;-30.85053253173828;15940;
450;104104;-0.9999996423721313;-0.0008131839567795396;1.356387988685867e-20;-38.10124206542969;-17.389192581176758;16295;
451;104325;1.0;-1.165785246115547e-10;1.0458975493809536e-25;-41.23579788208008;-9.052740097045898;11564;
454;104934;0.0;-0.0;-0.0;-10.079680442810059;-8.796782493591309;42575;
455;105138;0.00013284025772009045;-0.04639825597405434;0.9989230036735535;-24.60062599182129;-8.591507911682129;52528;
457;105536;-4.267655562273376e-09;-1.0;3.5037459354366473e-31;-49.50387191772461;-5.676443099975586;64794;
460;106155;0.0;-5.3624475526703463e-08;-1.0;-22.14650535583496;-9.651453018188477;44165;
461;106362;0.0;-0.0;-0.0;-25.163652420043945;-10.182467460632324;49966;
467;107634;0.9999991655349731;-0.001258936943486333;-7.372825621132506e-06;-38.47395706176758;-9.628300666809082;17030;
470;108253;9.983611571590248e-29;-1.0;-5.645314402578927e-13;-33.488037109375;-6.150485992431641;9104;
475;109874;-8.171570087256441e-09;1.0;-6.488529627234529e-27;88.14937591552734;-14.44799518585205;357;
476;110078;0.0;0.0;-0.0;84.28692626953125;-6.6826348304748535;42804;
478;110487;0.0019371210364624858;-0.9999980926513672;0.00029901982634328306;-14.200913429260254;-7.429147243499756;14512;
479;110707;-0.0;-0.0;0.0;-10.313587188720703;-7.996340274810791;30536;
480;110908;-1.1311675092212664e-35;-6.143403573237842e-17;1.0;-13.69304370880127;-9.095355987548828;15356;
481;111114;-0.0;-0.0;0.0;-16.14469337463379;-10.712332725524902;15492;
482;111314;2.9154469586260704e-15;-2.4456017854390666e-05;-1.0;-7.263930320739746;-11.454259872436523;58179;
484;111734;0.0;-0.0;-0.0;-15.130982398986816;-5.263768196105957;6140;
485;111952;1.6549632518303364e-33;1.0;-4.893823124518804e-10;5.726125240325928;-10.523313522338867;6625;
487;112376;0.0;-0.0;0.0;-13.193562507629395;-11.956151962280273;36431;
488;112583;0.0;-0.0;0.0;-12.13497543334961;-8.994450569152832;57507;
491;113189;-0.0;0.0;0.0;9.609527587890625;-9.4553804397583;11840;
493;113610;0.0;-0.0;-0.0;-20.497087478637695;-11.469198226928711;53069;
496;114215;-1.5972774318473437e-12;1.0;1.0502872136511185e-27;13.171730995178223;-10.718667030334473;6871;
497;114431;0.0;0.0;0.0;6.499330997467041;-11.989434242248535;19317;
499;114835;-0.0;0.0;0.0;0.9276100993156433;-14.666114807128906;21767;
500;115036;3.049536985797195e-17;-1.0;-3.0605311977331176e-31;-9.59516429901123;-10.775047302246094;21892;
501;115238;-1.9305507171184233e-15;-1.0;5.779942132617716e-16;-0.672719419002533;-10.092533111572266;59247;
502;115663;1.9514803426599152e-32;-5.787009055551601e-14;-1.0;-23.59234046936035;-12.024419784545898;58697;
503;116253;0.0;5.400226754659343e-08;1.0;33.10308074951172;-17.587400436401367;56612;
505;116673;1.0;1.3085529933542805e-18;0.0;21.651729583740234;-12.684757232666016;42794;
506;116880;-6.769652141935919e-38;3.3689434530970175e-07;1.0;12.159011840820312;-13.15086841583252;51023;
508;117302;1.0;8.489296305924654e-07;1.1900058716207695e-09;16.87769317626953;-13.452484130859375;23469;
509;117504;-0.0;0.0;0.0;25.392541885375977;-13.301868438720703;49122;
511;117923;-0.0;3.015164581117108e-19;1.0;27.40713882446289;-13.471692085266113;45972;
