num; time; bmp_temp; bmp_press; bmp_humidity; bmp_height; photorez; state
3;1866;2530;99458;58;0.173888;24.295704;0
4;2374;2530;99458;58;0.199925;25.609251;0
5;2877;2530;99456;58;0.378422;22.731018;0
6;3526;2531;99460;58;0.030750;28.401936;0
7;4021;2531;99460;58;0.030750;26.945349;0
8;4639;2531;99458;59;0.203690;21.916182;0
9;5081;2531;99458;59;0.203690;21.646652;0
10;5610;2532;99460;59;0.026971;26.849165;0
11;6112;2532;99459;59;0.115824;23.096172;0
12;6845;2533;99460;59;0.046246;20.402651;0
13;7287;2533;99460;59;0.084413;30.284092;0
14;7804;2533;99461;59;0.001520;38.886890;0
15;8409;2533;99461;59;-0.004048;32.824116;0
16;8867;2533;99459;59;0.147027;31.190166;0
17;9370;2535;99461;59;-0.067661;22.549133;0
18;9915;2535;99461;59;-0.067661;19.789175;0
19;10431;2535;99460;59;0.069104;9.681086;0
20;10921;2535;99460;59;0.047835;28.401936;0
21;11581;2535;99460;59;0.054395;48.283363;0
22;12049;2535;99456;59;0.378425;53.039253;0
23;12654;2535;99458;59;0.233105;15.656281;0
24;13254;2535;99455;59;0.428322;8.761673;0
25;13698;2536;99460;59;0.085808;9.824559;0
26;14317;2535;99459;59;0.129143;8.276217;0
27;14759;2535;99460;59;0.082426;8.070260;0
28;15264;2535;99459;59;0.089382;6.927543;0
29;15820;2535;99459;59;0.089382;7.797618;0
30;16367;2536;99457;59;0.270485;9.042119;0
31;16959;2536;99457;59;0.299709;43.026970;0
32;17440;2537;99462;59;-0.099858;21.021809;0
33;18034;2537;99462;59;-0.165259;11.512376;0
34;18555;2537;99462;59;-0.109397;7.729818;0
35;19058;2536;99466;59;-0.432430;8.138771;0
36;19653;2538;99466;59;-0.435210;5.891379;0
37;20161;2538;99465;59;-0.390483;5.827935;0
38;20652;2538;99464;59;-0.292870;17.057945;0
39;21209;2538;99461;59;-0.033048;29.486536;0
40;21713;2538;99461;59;-0.033048;13.267956;0
41;22330;2538;99459;59;0.129177;9.824559;0
42;22900;2538;99459;59;0.129177;16.891258;0
43;23342;2539;99454;59;0.540312;15.656281;0
44;23857;2539;99457;59;0.331772;15.656281;0
45;24374;2539;99455;59;0.506125;14.051858;0
46;24877;2539;99456;59;0.359009;28.696354;0
47;25382;2540;99457;59;0.292418;27.138060;0
48;25939;2540;99455;59;0.465585;31.595900;0
49;26443;2540;99454;59;0.534378;34.908226;0
50;27050;2540;99454;59;0.553652;23.739637;0
51;27608;2540;99454;59;0.553652;28.991808;0
52;28062;2540;99457;59;0.278904;28.401936;0
53;28579;2540;99457;59;0.296608;27.524866;0
num; time; bmp_temp; bmp_press; bmp_humidity; bmp_height; photorez; state
1;750;0;0;0;0.000000;9.896497;0
2;1209;0;0;0;0.000000;9.824559;0
3;1792;0;0;0;0.000000;10.549889;0
4;2426;0;0;0;0.000000;10.696555;0
5;2836;0;0;0;0.000000;10.770073;0
6;3410;0;0;0;0.000000;10.549889;0
7;3833;0;0;0;0.000000;10.476764;0
8;4356;0;0;0;0.000000;10.476764;0
9;4877;0;0;0;0.000000;10.258172;0
10;5351;0;0;0;0.000000;10.330905;0
11;5810;0;0;0;0.000000;10.258172;0
12;6309;0;0;0;0.000000;10.330905;0
13;6780;0;0;0;0.000000;10.476764;0
14;7354;0;0;0;0.000000;10.403769;0
15;7776;0;0;0;0.000000;10.476764;0
16;8238;0;0;0;0.000000;10.476764;0
17;8856;0;0;0;0.000000;10.549889;0
18;9330;0;0;0;0.000000;10.403769;0
19;9801;0;0;0;0.000000;10.330905;0
20;10423;0;0;0;0.000000;10.403769;0
21;10833;0;0;0;0.000000;10.330905;0
22;11671;0;0;0;0.000000;10.330905;0
23;12163;0;0;0;0.000000;10.113105;0
24;12654;0;0;0;0.000000;10.330905;0
25;13156;0;0;0;0.000000;10.476764;0
26;13686;0;0;0;0.000000;10.403769;0
27;14177;0;0;0;0.000000;10.403769;0
28;14733;0;0;0;0.000000;10.476764;0
29;15315;0;0;0;0.000000;9.183164;0
30;15796;0;0;0;0.000000;10.476764;0
31;16299;0;0;0;0.000000;10.403769;0
32;16893;0;0;0;0.000000;10.258172;0
33;17346;0;0;0;0.000000;10.476764;0
34;17825;0;0;0;0.000000;10.403769;0
35;18368;0;0;0;0.000000;10.476764;0
36;18899;0;0;0;0.000000;10.476764;0
37;19493;0;0;0;0.000000;10.330905;0
38;20035;0;0;0;0.000000;10.258172;0
39;20476;0;0;0;0.000000;10.258172;0
40;21019;0;0;0;0.000000;10.258172;0
41;21510;0;0;0;0.000000;10.258172;0
42;22107;0;0;0;0.000000;10.258172;0
43;22533;0;0;0;0.000000;10.185573;0
44;23077;0;0;0;0.000000;10.113105;0
45;23605;0;0;0;0.000000;10.113105;0
46;24109;0;0;0;0.000000;10.040769;0
47;24730;0;0;0;0.000000;10.185573;0
1;453;0;0;0;0.000000;9.968567;0
2;1032;0;0;0;0.000000;9.896497;0
3;1454;0;0;0;0.000000;9.968567;0
4;1923;0;0;0;0.000000;9.609550;0
5;2442;0;0;0;0.000000;9.466881;0
