145;23718;2816;99466;47;-0.238448;52.790764;0
146;24383;2815;99465;47;-0.111234;61.789661;0
147;24846;2815;99465;47;-0.111234;63.935421;0
148;25349;2814;99465;47;-0.130543;53.288235;0
149;25836;2814;99465;47;-0.074831;47.449570;0
150;26404;2814;99464;47;-0.013965;46.503986;0
151;26893;2813;99462;47;0.132075;49.484943;0
152;27408;2813;99462;47;0.155749;42.231220;0
153;27908;2812;99462;47;0.097794;41.441326;0
154;28411;2812;99462;47;0.097794;40.434319;0
155;29026;2813;99463;47;0.093762;84.045059;0
156;29467;2811;99464;48;-0.036440;55.045219;0
157;29992;2810;99465;48;-0.075719;53.412910;0
158;30481;2810;99463;48;0.051309;50.576847;0
159;31045;2811;99462;48;0.162394;52.542782;0
160;31546;2810;99463;48;0.081110;48.522694;0
161;32059;2810;99463;48;0.045524;49.364235;0
162;32651;2809;99462;48;0.099974;47.330948;0
163;33205;2809;99462;48;0.130407;44.983967;0
164;33747;2809;99462;48;0.130407;44.404751;0
165;34240;2809;99462;48;0.117524;45.799896;0
166;34754;2809;99463;48;0.067596;46.151398;0
167;35346;2809;99465;48;-0.099196;58.244366;0
168;35852;2809;99463;48;0.013344;65.840729;0
169;36394;2810;99466;48;-0.188890;62.056046;0
170;36949;2809;99463;48;0.053596;65.020996;0
171;37437;2810;99465;48;-0.107269;66.527519;0
172;37951;2810;99464;48;-0.007125;93.422806;0
173;38553;2810;99465;48;-0.147664;91.796181;0
174;39110;2809;99462;48;0.108335;84.664352;0
175;39576;2809;99462;48;0.108335;73.870987;0
176;40071;2809;99462;48;0.148101;62.456600;0
177;40628;2809;99464;48;-0.026564;62.724285;0
178;41175;2807;99463;48;0.019534;74.451279;0
179;41691;2809;99465;48;-0.113336;68.328857;0
180;42300;2809;99465;48;-0.104978;66.941193;0
181;42754;2810;99463;48;0.077416;75.472183;0
182;43362;2810;99465;48;-0.105179;66.941193;0
183;43858;2810;99465;48;-0.105665;63.261257;0
184;44364;2810;99465;48;-0.105665;64.748810;0
185;44869;2810;99461;48;0.190103;69.870918;0
186;45428;2810;99465;48;-0.118548;68.189484;0
187;45919;2811;99466;48;-0.159287;69.730049;0
188;46539;2811;99465;48;-0.139161;84.509308;0
189;46982;2811;99462;48;0.107315;76.352753;0
190;47590;2811;99462;48;0.105077;63.800320;0
191;48110;2811;99464;48;-0.001194;68.328857;0
192;48611;2812;99467;48;-0.277808;71.429512;0
193;49142;2811;99464;48;-0.001826;106.652878;0
194;49645;2811;99464;48;-0.001826;90.184914;0
195;50193;2811;99466;48;-0.226277;109.489418;0
196;50708;2809;99467;48;-0.290776;73.726257;0
197;51217;2810;99471;48;-0.627757;59.415676;0
198;51823;2810;99469;48;-0.434232;61.391071;0
199;52280;2809;99474;48;-0.851497;51.801823;0
200;52783;2808;99473;48;-0.758737;49.243652;0
201;53434;2809;99473;48;-0.764867;55.551746;0
202;53914;2809;99471;48;-0.603730;49.484943;0
203;54407;2809;99471;48;-0.603730;41.328968;0
204;54977;2809;99474;48;-0.845367;33.652180;0
205;55469;2808;99469;48;-0.491334;42.571537;0
206;56088;2809;99470;48;-0.543354;49.364235;0
207;56634;2808;99470;48;-0.511595;39.216522;0
208;57077;2808;99470;48;-0.528031;23.832020;0
209;57648;2808;99468;48;-0.369118;21.646652;0
210;58142;2808;99474;48;-0.915337;17.308870;0
211;58749;2807;99470;48;-0.552469;10.040769;0
212;59217;2807;99473;48;-0.773487;7.865580;0
213;59775;2807;99470;48;-0.563887;5.764651;0
214;60291;2807;99470;48;-0.563887;4.473581;0
215;60796;2807;99470;48;-0.524614;9.681086;0
216;61390;2807;99466;48;-0.175731;12.267482;0
217;61859;2807;99467;48;-0.274757;24.388781;0
218;62364;2807;99464;48;-0.055466;8.971802;0
219;62972;2807;99465;48;-0.100245;27.234589;0
220;63426;2807;99467;48;-0.264451;14.528079;0
221;63932;2808;99466;48;-0.170302;8.070260;0
222;64501;2808;99466;48;-0.194467;8.691906;0
223;64995;2808;99466;48;-0.194467;12.039616;0
224;65613;2808;99468;48;-0.387017;16.642092;0
225;66172;2808;99468;48;-0.334371;18.238031;0
226;66624;2809;99465;48;-0.153934;9.112573;0
227;67286;2809;99464;48;0.008677;11.288330;0
228;67728;2809;99467;48;-0.268074;13.190248;0
229;68234;2809;99464;48;-0.007269;72.286652;0
230;68749;2810;99467;48;-0.263267;139.929901;0
231;69308;2811;99470;48;-0.540706;107.357979;0
232;69812;2811;99467;48;-0.314025;120.894844;0
233;70371;2812;99466;48;-0.160600;97.390167;0
234;70967;2811;99465;48;-0.159142;105.425331;0
235;71537;2811;99469;48;-0.493840;94.900047;0
236;71993;2811;99469;48;-0.493840;96.722679;0
237;72588;2811;99465;48;-0.097159;86.066422;0
238;73055;2812;99463;48;0.050146;75.765167;0
239;73546;2812;99463;48;0.019080;109.489418;0
240;74118;2811;99465;48;-0.120347;81.743607;0
241;74622;2811;99465;48;-0.079609;86.066422;0
242;75230;2813;99468;48;-0.407121;88.271439;0
243;75791;2812;99463;48;0.043537;77.386467;0
244;76233;2812;99463;48;0.043537;81.135384;0
245;76749;2812;99464;48;-0.053063;51.801823;0
246;77308;2813;99462;48;0.108735;62.322948;0
247;77812;2813;99465;48;-0.100411;74.305992;0
248;78316;2812;99463;48;0.050781;78.129097;0
249;78820;2813;99468;48;-0.367841;73.726257;0
250;79337;2813;99465;48;-0.114750;57.856266;0
251;79854;2813;99463;48;0.011648;100.936310;0
252;80451;2813;99464;48;-0.051793;69.730049;0
