"Number";"Time_ms";"Time";"Q1";"Q2";"Q3";"Q4";"crc"
1;291;0.27900001406669617;0.9967444539070129;0.014121375046670437;0.07930721342563629;0.003398365341126919;43583;
2;331;0.3190000057220459;0.9958922863006592;0.020287681370973587;0.08823005855083466;-0.001526211271993816;41995;
3;371;0.35899999737739563;0.9948879480361938;0.026343265548348427;0.09728816151618958;-0.0062612686306238174;14116;
4;411;0.39899998903274536;0.9937426447868347;0.03212811425328255;0.1064121201634407;-0.01094772107899189;25446;
5;451;0.4390000104904175;0.9924586415290833;0.03780261427164078;0.11557748168706894;-0.015452370047569275;10830;
6;491;0.4790000021457672;0.991051197052002;0.04374587535858154;0.12449090927839279;-0.02014683187007904;15664;
7;531;0.5189999938011169;0.9895090460777283;0.049288589507341385;0.13351589441299438;-0.024818940088152885;48049;
8;571;0.5590000152587891;0.9878095388412476;0.05483969673514366;0.14281514286994934;-0.028789129108190536;50514;
9;611;0.5989999771118164;0.9860230088233948;0.060956716537475586;0.15138059854507446;-0.033568497747182846;3111;
10;651;0.6389999985694885;0.9841564297676086;0.067234568297863;0.15935948491096497;-0.03898923099040985;8680;
11;691;0.6790000200271606;0.9821118116378784;0.07314800471067429;0.1678924262523651;-0.04379422590136528;47496;
12;731;0.718999981880188;0.979927122592926;0.07853610068559647;0.1768026202917099;-0.048123788088560104;34541;
13;771;0.7590000033378601;0.9776596426963806;0.08464405685663223;0.18488918244838715;-0.05322546511888504;56170;
14;811;0.7990000247955322;0.9752474427223206;0.08962439000606537;0.19372530281543732;-0.05770905688405037;36021;
15;851;0.8389999866485596;0.9726864099502563;0.09470774233341217;0.20271329581737518;-0.061797209084033966;15612;
16;891;0.8790000081062317;0.9701181650161743;0.10090015083551407;0.2100977897644043;-0.06744489818811417;10109;
17;931;0.9190000295639038;0.967353880405426;0.10677266865968704;0.21822147071361542;-0.0721486359834671;55464;
18;971;0.9589999914169312;0.964473307132721;0.11272372305393219;0.22623571753501892;-0.07682527601718903;2443;
19;1011;0.9990000128746033;0.9614958167076111;0.11907164007425308;0.23376725614070892;-0.08185706287622452;59208;
20;1051;1.0390000343322754;0.9584094882011414;0.12542180716991425;0.24107058346271515;-0.08720998466014862;44192;
21;1091;1.0789999961853027;0.9552373886108398;0.13078060746192932;0.24860379099845886;-0.0928119346499443;39420;
22;1131;1.11899995803833;0.9518902897834778;0.13524974882602692;0.25715336203575134;-0.09738915413618088;64430;
23;1171;1.159000039100647;0.9484813213348389;0.141651451587677;0.26404309272766113;-0.10295262932777405;22010;
24;1211;1.1990000009536743;0.9449656009674072;0.14657092094421387;0.27169114351272583;-0.10835576057434082;21347;
25;1251;1.2389999628067017;0.9412832260131836;0.153096005320549;0.27856770157814026;-0.11378736793994904;58758;
26;1291;1.2790000438690186;0.9375245571136475;0.159905344247818;0.284864217042923;-0.11970935016870499;25159;
