"Number";"Time_ms";"VectorX";"VectorY";"VectorZ";"DeltaStep";"KsiServo";"crc"
64;14271;18.67740821838379;-11.880524635314941;-97.519287109375;136.0625;-14.209324836730957;34557;
65;14491;19.13228416442871;-10.910588264465332;-97.5444107055664;132.9901580810547;-14.136797904968262;34719;
66;14711;18.624969482421875;-10.274415016174316;-97.71154022216797;132.08834838867188;-13.645333290100098;9036;
67;14931;18.43016242980957;-10.36139965057373;-97.73929595947266;132.6009979248047;-13.562032699584961;34455;
68;15151;18.040746688842773;-10.564596176147461;-97.79019165039062;133.72149658203125;-13.40794849395752;57835;
69;15371;18.550643920898438;-10.505302429199219;-97.70113372802734;132.79925537109375;-13.676459312438965;1920;
70;15591;18.81096839904785;-10.713422775268555;-97.62874603271484;132.95457458496094;-13.891000747680664;18864;
71;15811;18.752084732055664;-10.006710052490234;-97.71501922607422;131.20237731933594;-13.634942054748535;48942;
72;16031;18.2391300201416;-11.608626365661621;-97.6348876953125;136.07962036132812;-13.872859954833984;59434;
73;16251;18.38275718688965;-10.694541931152344;-97.71234893798828;133.53982543945312;-13.64297103881836;64213;
74;16471;18.36766815185547;-10.80648422241211;-97.70287322998047;133.85153198242188;-13.671314239501953;6418;
75;16691;18.82756233215332;-11.19328498840332;-97.57166290283203;134.14266967773438;-14.057795524597168;1006;
76;16911;19.34267807006836;-10.444122314453125;-97.55400848388672;131.5147247314453;-14.109116554260254;40357;
77;17131;18.392404556274414;-9.836150169372559;-97.8006591796875;131.2599334716797;-13.376015663146973;1978;
78;17351;18.625791549682617;-10.11786937713623;-97.72772979736328;131.67547607421875;-13.596831321716309;61904;
79;17571;18.453914642333984;-10.619543075561523;-97.70711517333984;133.239013671875;-13.6586275100708;22415;
80;17791;18.331966400146484;-10.361804008483887;-97.75772094726562;132.74754333496094;-13.506453514099121;18724;
81;18011;18.774171829223633;-11.031832695007324;-97.60035705566406;133.81671142578125;-13.974218368530273;59082;
82;18231;18.96969985961914;-9.908612251281738;-97.6830062866211;130.6401824951172;-13.73049259185791;62753;
83;18451;18.312149047851562;-11.578770637512207;-97.62476348876953;135.89041137695312;-13.902636528015137;12314;
84;18671;18.062828063964844;-10.48752498626709;-97.7944107055664;133.4847869873047;-13.39509391784668;16327;
85;18891;18.697153091430664;-11.169035911560059;-97.59952545166016;134.27655029296875;-13.976615905761719;39649;
86;19111;18.9111385345459;-11.317513465881348;-97.54119110107422;134.32774353027344;-14.146157264709473;45233;
87;19331;18.722993850708008;-10.96395492553711;-97.6178207397461;133.72108459472656;-13.923030853271484;40958;
88;19551;17.870771408081055;-9.935293197631836;-97.88731384277344;132.29806518554688;-13.108924865722656;46202;
89;19771;18.309335708618164;-9.778549194335938;-97.82202911376953;131.22430419921875;-13.310662269592285;54982;
90;19991;18.822973251342773;-11.005606651306152;-97.59391021728516;133.67852783203125;-13.993030548095703;48313;
91;20211;18.218114852905273;-10.47828483581543;-97.76658630371094;133.22439575195312;-13.479619979858398;30751;
92;20431;18.50294303894043;-10.466413497924805;-97.71434783935547;132.768310546875;-13.636932373046875;16528;
93;20651;18.690603256225586;-11.223028182983398;-97.5946044921875;134.42169189453125;-13.991042137145996;64518;
94;20871;18.302865982055664;-11.263914108276367;-97.66334533691406;135.11679077148438;-13.788850784301758;9015;
95;21091;18.46587562561035;-11.863465309143066;-97.56163024902344;136.3500518798828;-14.087007522583008;26104;
97;21531;18.584693908691406;-11.841925621032715;-97.54165649414062;136.11216735839844;-14.144749641418457;31504;
98;21751;18.571971893310547;-11.122857093811035;-97.62870788574219;134.34873962402344;-13.891093254089355;38789;
99;21971;18.847240447998047;-11.139974594116211;-97.573974609375;133.98019409179688;-14.051100730895996;6688;
100;22191;18.151588439941406;-10.18136978149414;-97.8103256225586;132.53855895996094;-13.3464937210083;38692;
101;22411;17.869070053100586;-10.902262687683105;-97.78463745117188;134.87155151367188;-13.424813270568848;22128;
102;22631;18.911287307739258;-11.723139762878418;-97.49324035644531;135.3234100341797;-14.283995628356934;17627;
103;22851;18.656375885009766;-10.067869186401367;-97.72705078125;131.4997100830078;-13.598844528198242;44302;
104;23071;18.835634231567383;-10.437173843383789;-97.65390014648438;132.20883178710938;-13.816803932189941;13156;
105;23291;18.3764705657959;-10.11227035522461;-97.77550506591797;132.02175903320312;-13.452614784240723;29499;
