"Number";"Time_ms";"Temp BME";"Pressure";"Humidity";Height BME";"Lux";"State";"crc"
1;270;3656;99441;41;0.0;11.81289291381836;0;39801;
2;491;3656;99441;41;0.0;11.737570762634277;0;9745;
3;711;3656;99441;41;0.0;11.88833999633789;0;4855;
4;931;3655;99442;41;-0.0722128376364708;11.96391487121582;0;1486;
5;1151;3655;99442;41;-0.0722128376364708;11.88833999633789;0;8937;
6;1371;3654;99442;41;-0.08710959553718567;12.115445137023926;0;856;
8;1811;3654;99442;41;-0.08710959553718567;11.81289291381836;0;42810;
9;2031;3654;99444;41;-0.20326001942157745;11.81289291381836;0;46657;
10;2251;3654;99444;41;-0.20326001942157745;12.115445137023926;0;3032;
11;2471;3654;99444;41;-0.20326001942157745;11.88833999633789;0;33299;
12;2691;3652;99439;41;0.1885303556919098;12.039615631103516;0;34602;
13;2911;3652;99439;41;0.1885303556919098;11.512375831604004;0;30527;
14;3131;3650;99440;41;0.10084497928619385;11.81289291381836;0;25561;
15;3351;3650;99440;41;0.10084497928619385;12.115445137023926;0;56115;
16;3571;3650;99440;41;0.10084497928619385;11.81289291381836;0;53968;
17;3791;3648;99440;42;0.07460019737482071;12.039615631103516;0;282;
18;4011;3648;99440;42;0.07460019737482071;11.81289291381836;0;13566;
19;4231;3648;99440;42;0.07460019737482071;12.039615631103516;0;29772;
20;4451;3647;99443;41;-0.15412825345993042;12.039615631103516;0;64629;
21;4671;3647;99443;41;-0.15412825345993042;12.420022964477539;0;64621;
22;4891;3647;99443;42;-0.17468960583209991;11.88833999633789;0;15013;
23;5111;3647;99443;42;-0.17468960583209991;12.191399574279785;0;42701;
24;5331;3647;99443;42;-0.17468960583209991;12.573067665100098;0;25535;
25;5551;3647;99440;42;0.06864020228385925;12.420022964477539;0;5926;
26;5771;3647;99440;42;0.06864020228385925;12.115445137023926;0;6470;
27;5991;3647;99440;42;0.06864020228385925;12.573067665100098;0;50094;
28;6211;3648;99443;42;-0.1378210335969925;12.573067665100098;0;41797;
29;6431;3648;99443;42;-0.1378210335969925;12.726612091064453;0;24368;
30;6651;3649;99443;42;-0.1487375646829605;12.420022964477539;0;17848;
31;6871;3649;99443;42;-0.1487375646829605;12.343688011169434;0;29820;
32;7091;3649;99443;42;-0.1487375646829605;11.96391487121582;0;53008;
33;7311;3649;99443;42;-0.16958002746105194;13.112664222717285;0;43452;
34;7531;3649;99443;42;-0.16958002746105194;12.191399574279785;0;9623;
35;7751;3649;99443;42;-0.16958002746105194;12.343688011169434;0;38663;
36;7971;3649;99443;42;-0.1671687513589859;12.343688011169434;0;62152;
37;8191;3649;99443;42;-0.1671687513589859;12.343688011169434;0;40025;
39;8631;3650;99441;41;0.014206351712346077;12.267481803894043;0;27896;
40;8851;3650;99441;41;0.014206351712346077;12.115445137023926;0;20074;
41;9071;3650;99441;42;0.03958909958600998;12.267481803894043;0;62928;
42;9291;3650;99441;42;0.03958909958600998;12.496481895446777;0;48359;
43;9511;3650;99441;42;0.03958909958600998;12.191399574279785;0;26108;
44;9731;3649;99442;41;-0.02805808000266552;12.496481895446777;0;38726;
45;9951;3649;99442;41;-0.02805808000266552;12.496481895446777;0;63959;
46;10171;3649;99442;41;-0.02805808000266552;12.343688011169434;0;2452;
47;10391;3649;99442;41;-0.05812268704175949;12.267481803894043;0;47167;
48;10611;3649;99442;41;-0.05812268704175949;12.115445137023926;0;60455;
49;10831;3649;99443;41;-0.18716424703598022;12.573067665100098;0;60921;
50;11051;3649;99443;41;-0.18716424703598022;12.803572654724121;0;47021;
51;11271;3649;99443;41;-0.18716424703598022;12.039615631103516;0;57313;
52;11491;3650;99445;42;-0.2964920103549957;12.343688011169434;0;53319;
53;11711;3650;99445;42;-0.2964920103549957;12.267481803894043;0;41505;
54;11931;3650;99445;42;-0.2964920103549957;12.496481895446777;0;15834;
55;12151;3650;99441;41;-0.0013884210493415594;12.039615631103516;0;44867;
56;12371;3650;99441;41;-0.0013884210493415594;12.496481895446777;0;6876;
57;12591;3651;99440;41;0.11433549970388412;12.039615631103516;0;53325;
58;12811;3651;99440;41;0.11433549970388412;12.880659103393555;0;16994;
59;13031;3651;99440;41;0.11433549970388412;12.573067665100098;0;14278;
60;13251;3651;99442;42;-0.04533855989575386;12.496481895446777;0;40772;
62;13691;3651;99442;42;-0.04533855989575386;11.88833999633789;0;54328;
63;13911;3652;99444;41;-0.20273958146572113;11.737570762634277;0;36442;
64;14131;3652;99444;41;-0.20273958146572113;11.66237735748291;0;12196;
65;14351;3651;99440;41;0.10639883577823639;11.737570762634277;0;16414;
66;14571;3651;99440;41;0.10639883577823639;11.96391487121582;0;50040;
67;14791;3651;99440;41;0.10639883577823639;11.88833999633789;0;63257;
68;15011;3652;99442;41;-0.09893660992383957;11.213905334472656;0;40883;
69;15231;3652;99442;41;-0.09893660992383957;11.213905334472656;0;50321;
70;15451;3652;99442;41;-0.09893660992383957;11.213905334472656;0;35221;
71;15671;3652;99444;41;-0.23549862205982208;11.587313652038574;0;53699;
72;15891;3652;99444;41;-0.23549862205982208;11.512375831604004;0;34242;
73;16111;3652;99444;41;-0.1955031156539917;11.737570762634277;0;18176;
74;16331;3652;99444;41;-0.1955031156539917;11.362882614135742;0;36455;
75;16551;3652;99444;41;-0.1955031156539917;11.737570762634277;0;22941;
76;16771;3652;99444;41;-0.20273958146572113;11.362882614135742;0;50593;
77;16991;3652;99444;41;-0.20273958146572113;11.512375831604004;0;14654;
78;17211;3652;99444;41;-0.20273958146572113;12.039615631103516;0;31185;
79;17431;3652;99444;41;-0.22798201441764832;11.81289291381836;0;19257;
80;17651;3652;99444;41;-0.22798201441764832;11.88833999633789;0;9641;
81;17871;3651;99444;41;-0.2630124092102051;11.66237735748291;0;65366;
82;18091;3651;99444;41;-0.2630124092102051;12.039615631103516;0;26271;
83;18311;3651;99444;41;-0.2630124092102051;12.115445137023926;0;73;
84;18531;3652;99442;41;-0.07100152969360352;11.737570762634277;0;26752;
85;18751;3652;99442;41;-0.07100152969360352;12.039615631103516;0;23403;
86;18971;3652;99442;41;-0.07100152969360352;11.81289291381836;0;7839;
87;19191;3652;99445;41;-0.28129956126213074;12.267481803894043;0;44298;
88;19411;3652;99445;41;-0.28129956126213074;11.88833999633789;0;33677;
89;19631;3652;99445;41;-0.28129956126213074;12.267481803894043;0;7245;
90;19851;3652;99441;41;0.01493631862103939;12.726612091064453;0;31021;
91;20071;3652;99441;41;0.01493631862103939;12.039615631103516;0;51712;
92;20291;3652;99441;41;0.05479453504085541;11.96391487121582;0;17522;
93;20511;3652;99441;41;0.05479453504085541;11.96391487121582;0;17148;
94;20731;3652;99441;41;0.05479453504085541;11.96391487121582;0;43643;
95;20951;3652;99442;41;-0.07411357015371323;11.96391487121582;0;3543;
96;21171;3652;99442;41;-0.07411357015371323;11.81289291381836;0;43581;
97;21391;3652;99442;41;-0.07411357015371323;11.66237735748291;0;5749;
98;21611;3652;99440;41;0.12597870826721191;12.420022964477539;0;19835;
99;21831;3652;99440;41;0.12597870826721191;12.267481803894043;0;2161;
100;22051;3652;99439;41;0.22440111637115479;11.96391487121582;0;33592;
101;22271;3652;99439;41;0.22440111637115479;12.267481803894043;0;28185;
102;22491;3652;99439;41;0.22440111637115479;12.191399574279785;0;44327;
103;22711;3652;99443;41;-0.18840618431568146;11.737570762634277;0;60703;
104;22931;3652;99443;41;-0.18840618431568146;11.66237735748291;0;50901;
105;23151;3652;99443;41;-0.18840618431568146;12.115445137023926;0;28997;
