"Number";"Time_ms";"Accel x";"Accel y";"Accel z";"Gyro x";"Gyro y";"Gyro z";"Mag x";"Mag y";"Mag z";"crc"
1;270;-117;171;962;487;4745;3800;-527;-113;825;38464;
2;311;-121;181;968;485;4745;3799;-311;230;146;17045;
3;351;-120;175;966;486;4744;3799;-340;185;152;16207;
4;391;-116;176;964;486;4745;3800;-367;177;175;42128;
5;431;-116;176;959;485;4745;3798;-332;241;156;25103;
6;471;-119;177;964;486;4745;3800;-305;197;121;52490;
7;511;-117;175;964;485;4745;3799;-528;200;200;202;
8;551;-119;180;970;485;4744;3800;-319;185;167;6346;
9;591;-122;183;969;486;4745;3799;-311;223;130;37835;
10;631;-117;179;963;485;4746;3800;-322;180;157;39883;
11;671;-119;175;962;486;4745;3799;-325;184;163;35149;
12;711;-119;174;967;485;4746;3799;-325;214;159;6971;
13;751;-115;176;960;488;4744;3798;-301;208;108;54690;
14;791;-117;175;962;485;4745;3799;-575;192;213;61019;
15;831;-115;172;966;486;4746;3801;-317;182;168;44128;
16;871;-116;182;966;485;4746;3800;-301;226;67;24097;
17;911;-113;177;966;485;4746;3799;-333;174;171;25697;
18;951;-118;179;957;486;4745;3799;-320;191;163;14602;
19;991;-115;171;964;489;4745;3801;-325;239;145;53386;
20;1031;-120;181;969;487;4745;3801;-312;214;113;7138;
21;1071;-122;171;966;486;4747;3800;-488;198;188;50442;
22;1111;-117;178;967;487;4744;3800;-323;181;166;62892;
23;1151;-111;177;967;485;4744;3800;-301;217;99;52015;
24;1191;-120;179;961;486;4745;3799;-644;215;213;48522;
25;1231;-119;176;965;487;4745;3800;-323;197;159;21817;
26;1271;-120;173;966;486;4746;3798;-326;241;147;42240;
27;1311;-115;173;960;486;4744;3798;-305;213;123;43894;
28;1351;-120;176;968;486;4744;3799;-415;191;176;13515;
29;1391;-125;175;968;486;4747;3799;-320;238;147;55734;
30;1431;-115;171;966;485;4746;3799;-298;207;109;31722;
31;1471;-113;175;965;488;4745;3800;-665;203;229;61647;
32;1511;-119;167;967;485;4747;3800;-316;184;171;12773;
33;1551;-122;163;972;475;4746;3798;-311;216;136;10410;
35;1631;-121;190;969;485;4749;3800;-311;167;170;32686;
36;1671;-117;185;975;488;4744;3801;-314;248;136;32837;
37;1711;-115;186;963;492;4743;3800;-306;197;118;18810;
38;1751;-121;173;963;488;4744;3800;-578;201;203;53660;
39;1791;-122;178;964;487;4745;3800;-318;185;165;48877;
40;1831;-117;168;967;482;4746;3799;-292;228;82;65245;
41;1871;-118;179;970;489;4745;3801;-317;181;161;50341;
42;1911;-122;178;967;487;4744;3800;-321;179;157;49589;
43;1951;-123;186;971;487;4745;3800;-331;240;148;3281;
44;1991;-116;180;961;487;4744;3800;-302;199;110;2940;
45;2031;-116;178;969;487;4745;3801;-520;190;197;9833;
46;2071;-115;172;965;484;4746;3799;-317;177;162;9528;
47;2111;-118;170;965;485;4744;3799;-282;218;59;22547;
48;2151;-119;180;972;487;4745;3799;-389;172;181;54704;
49;2191;-120;183;963;485;4746;3800;-317;181;163;58223;
50;2231;-119;180;972;487;4745;3799;-321;249;142;49599;
51;2271;-110;180;965;487;4742;3799;-303;204;121;6128;
52;2311;-119;176;965;487;4744;3799;-417;183;179;32919;
53;2351;-121;171;963;485;4745;3799;-336;183;169;26776;
54;2391;-118;174;961;486;4744;3800;-302;188;125;58110;
55;2431;-118;181;968;487;4746;3801;-668;210;225;3974;
56;2471;-124;174;968;486;4745;3800;-317;192;160;32565;
57;2511;-113;179;966;487;4745;3800;-324;233;137;22951;
