"Number";"Time_ms";"Fix";"Latitude";"Longitude";"Height";"Time, s";"Time, mks";"crc"
1;2924;0;55.910648345947266;37.805381774902344;200.0;0;0;27308;
2;3785;0;55.910648345947266;37.805381774902344;200.0;0;0;48629;
3;4279;0;55.910648345947266;37.805381774902344;200.0;0;0;52465;
4;4812;0;55.910648345947266;37.805381774902344;200.0;0;0;19453;
5;5335;0;55.910648345947266;37.805381774902344;200.0;0;0;21125;
6;5950;0;55.910648345947266;37.805381774902344;200.0;0;0;10087;
7;6472;0;55.910648345947266;37.805381774902344;200.0;0;0;32266;
8;7052;0;55.910648345947266;37.805381774902344;200.0;0;0;10291;
9;7599;0;55.910648345947266;37.805381774902344;200.0;0;0;43784;
10;8144;0;55.910648345947266;37.805381774902344;200.0;0;0;12178;
11;8785;0;55.910648345947266;37.805381774902344;200.0;0;0;53055;
12;9278;0;55.910648345947266;37.805381774902344;200.0;0;0;47198;
13;9914;0;55.910648345947266;37.805381774902344;200.0;0;0;36055;
14;10393;0;55.910648345947266;37.805381774902344;200.0;0;0;19238;
16;11540;0;55.910648345947266;37.805381774902344;200.0;0;0;35361;
17;12124;0;55.910648345947266;37.805381774902344;200.0;0;0;39737;
18;12710;0;55.910648345947266;37.805381774902344;200.0;0;0;14432;
19;13291;0;55.910648345947266;37.805381774902344;200.0;0;0;5343;
20;13842;0;55.910648345947266;37.805381774902344;200.0;0;0;6574;
21;14434;0;55.910648345947266;37.805381774902344;200.0;0;0;39398;
22;15159;0;55.910648345947266;37.805381774902344;200.0;0;0;60722;
23;15639;0;55.910648345947266;37.805381774902344;200.0;0;0;35467;
24;16267;0;55.910648345947266;37.805381774902344;200.0;0;0;1292;
25;16806;0;55.910648345947266;37.805381774902344;200.0;0;0;8705;
26;17339;0;55.910648345947266;37.805381774902344;200.0;0;0;44421;
27;17872;0;55.910648345947266;37.805381774902344;200.0;0;0;36954;
28;18463;0;55.910648345947266;37.805381774902344;200.0;0;0;57346;
29;19103;0;55.910648345947266;37.805381774902344;200.0;0;0;17741;
30;19778;0;55.910648345947266;37.805381774902344;200.0;0;0;3702;
31;20245;0;55.910648345947266;37.805381774902344;200.0;0;0;16093;
32;20792;0;55.910648345947266;37.805381774902344;200.0;0;0;5559;
33;21436;0;55.910648345947266;37.805381774902344;200.0;0;0;8510;
34;21902;0;55.910648345947266;37.805381774902344;200.0;0;0;8214;
35;22448;0;55.910648345947266;37.805381774902344;200.0;0;0;52364;
36;23038;0;55.910648345947266;37.805381774902344;200.0;0;0;54490;
37;24335;0;55.910648345947266;37.805381774902344;200.0;0;0;65442;
38;24911;0;55.910648345947266;37.805381774902344;200.0;0;0;45920;
39;25514;0;55.910648345947266;37.805381774902344;200.0;0;0;26741;
40;26034;0;55.910648345947266;37.805381774902344;200.0;0;0;31350;
41;26750;0;55.910648345947266;37.805381774902344;200.0;0;0;13780;
42;27218;0;55.910648345947266;37.805381774902344;200.0;0;0;49119;
43;27755;0;55.910648345947266;37.805381774902344;200.0;0;0;8432;
44;28576;0;55.910648345947266;37.805381774902344;200.0;0;0;16661;
45;29042;0;55.910648345947266;37.805381774902344;200.0;0;0;22141;
46;29767;0;55.910648345947266;37.805381774902344;200.0;0;0;60621;
47;30290;0;55.910648345947266;37.805381774902344;200.0;0;0;6604;
48;30895;0;55.910648345947266;37.805381774902344;200.0;0;0;7110;
49;31529;0;55.910648345947266;37.805381774902344;200.0;0;0;8728;
50;32022;0;55.910648345947266;37.805381774902344;200.0;0;0;11578;
51;32542;0;55.910648345947266;37.805381774902344;200.0;0;0;45419;
52;33202;0;55.910648345947266;37.805381774902344;200.0;0;0;13804;
53;33789;0;55.910648345947266;37.805381774902344;200.0;0;0;20912;
54;34256;0;55.910648345947266;37.805381774902344;200.0;0;0;28971;
55;34863;0;55.910648345947266;37.805381774902344;200.0;0;0;29669;
56;35383;0;55.910648345947266;37.805381774902344;200.0;0;0;26391;
57;35915;0;55.910648345947266;37.805381774902344;200.0;0;0;18646;
58;36517;0;55.910648345947266;37.805381774902344;200.0;0;0;3524;
59;37176;0;55.910648345947266;37.805381774902344;200.0;0;0;38072;
60;37827;0;55.910648345947266;37.805381774902344;200.0;0;0;6407;
61;38321;0;55.910648345947266;37.805381774902344;200.0;0;0;56398;
62;38841;0;55.910648345947266;37.805381774902344;200.0;0;0;2359;
63;39499;0;55.910648345947266;37.805381774902344;200.0;0;0;1523;
64;40084;0;55.910648345947266;37.805381774902344;200.0;0;0;60001;
65;40558;0;55.910648345947266;37.805381774902344;200.0;0;0;4295;
66;41343;0;55.910648345947266;37.805381774902344;200.0;0;0;24515;
67;41823;0;55.910648345947266;37.805381774902344;200.0;0;0;16011;
68;42355;0;55.910648345947266;37.805381774902344;200.0;0;0;8225;
69;42982;0;55.910648345947266;37.805381774902344;200.0;0;0;57235;
70;43559;0;55.910648345947266;37.805381774902344;200.0;0;0;55059;
71;44190;0;55.910648345947266;37.805381774902344;200.0;0;0;17039;
72;45502;0;55.910648345947266;37.805381774902344;200.0;0;0;4661;
73;46213;0;55.910648345947266;37.805381774902344;200.0;0;0;2853;
74;46737;0;55.910648345947266;37.805381774902344;200.0;0;0;7021;
75;47427;0;55.910648345947266;37.805381774902344;200.0;0;0;21109;
76;47904;0;55.910648345947266;37.805381774902344;200.0;0;0;33166;
77;48544;0;55.910648345947266;37.805381774902344;200.0;0;0;8752;
78;49080;0;55.910648345947266;37.805381774902344;200.0;0;0;36883;
79;49765;0;55.910648345947266;37.805381774902344;200.0;0;0;22486;
80;50341;0;55.910648345947266;37.805381774902344;200.0;0;0;65498;
81;50820;0;55.910648345947266;37.805381774902344;200.0;0;0;13043;
82;51353;0;55.910648345947266;37.805381774902344;200.0;0;0;46692;
83;51913;0;55.910648345947266;37.805381774902344;200.0;0;0;62347;
84;52547;0;55.910648345947266;37.805381774902344;200.0;0;0;46519;
85;53026;0;55.910648345947266;37.805381774902344;200.0;0;0;62935;
86;53628;0;55.910648345947266;37.805381774902344;200.0;0;0;847;
87;54345;0;55.910648345947266;37.805381774902344;200.0;0;0;61655;
88;54914;0;55.910648345947266;37.805381774902344;200.0;0;0;57351;
90;56041;0;55.910648345947266;37.805381774902344;200.0;0;0;14062;
91;56753;0;55.910648345947266;37.805381774902344;200.0;0;0;1001;
92;57232;0;55.910648345947266;37.805381774902344;200.0;0;0;5560;
93;57808;0;55.910648345947266;37.805381774902344;200.0;0;0;4178;
94;58451;0;55.910648345947266;37.805381774902344;200.0;0;0;53402;
95;59128;0;55.910648345947266;37.805381774902344;200.0;0;0;27726;
96;59620;0;55.910648345947266;37.805381774902344;200.0;0;0;22895;
97;60164;0;55.910648345947266;37.805381774902344;200.0;0;0;64105;
99;61277;0;55.910648345947266;37.805381774902344;200.0;0;0;49263;
100;61859;0;55.910648345947266;37.805381774902344;200.0;0;0;24736;
101;62450;0;55.910648345947266;37.805381774902344;200.0;0;0;35118;
102;62971;0;55.910648345947266;37.805381774902344;200.0;0;0;63175;
103;63600;0;55.910648345947266;37.805381774902344;200.0;0;0;16744;
