"Number";"Time_ms";"Temp BME";"Pressure";"Humidity";Height BME";"Lux";"State";"crc"
941;207071;3702;99436;40;-0.1218901053071022;11.81289291381836;0;58175;
942;207291;3702;99436;40;-0.1218901053071022;11.512375831604004;0;32236;
943;207511;3702;99436;40;-0.1218901053071022;11.437564849853516;0;4853;
944;207731;3702;99438;40;-0.2733980417251587;11.96391487121582;0;37303;
945;207951;3702;99438;40;-0.2733980417251587;11.512375831604004;0;51693;
946;208171;3702;99439;40;-0.3372863829135895;12.039615631103516;0;42690;
947;208391;3702;99439;40;-0.3372863829135895;11.737570762634277;0;26191;
948;208611;3702;99439;40;-0.3372863829135895;11.587313652038574;0;44072;
949;208831;3702;99436;40;-0.12942421436309814;12.039615631103516;0;31393;
950;209051;3702;99436;40;-0.12942421436309814;11.88833999633789;0;5412;
951;209271;3702;99436;40;-0.12942421436309814;11.737570762634277;0;26430;
952;209491;3702;99441;40;-0.5319168567657471;11.737570762634277;0;41503;
953;209711;3702;99441;40;-0.5319168567657471;11.88833999633789;0;26660;
954;209931;3702;99441;40;-0.5319168567657471;11.96391487121582;0;58511;
955;210151;3702;99436;40;-0.15457716584205627;11.81289291381836;0;64749;
957;210591;3701;99438;40;-0.2958804666996002;11.81289291381836;0;4188;
958;210811;3701;99438;40;-0.2958804666996002;12.115445137023926;0;32844;
959;211031;3701;99438;40;-0.2958804666996002;11.512375831604004;0;19902;
960;211251;3702;99436;40;-0.1367216557264328;11.512375831604004;0;17541;
961;211471;3702;99436;40;-0.1367216557264328;11.81289291381836;0;8683;
962;211691;3702;99436;40;-0.1367216557264328;12.039615631103516;0;5968;
963;211911;3702;99437;40;-0.17474670708179474;11.587313652038574;0;57685;
964;212131;3702;99437;40;-0.17474670708179474;11.81289291381836;0;5598;
965;212351;3701;99438;40;-0.250322163105011;11.66237735748291;0;52088;
966;212571;3701;99438;40;-0.250322163105011;11.737570762634277;0;6114;
967;212791;3701;99438;40;-0.250322163105011;11.737570762634277;0;63834;
968;213011;3701;99437;40;-0.22677062451839447;11.96391487121582;0;34492;
969;213231;3701;99437;40;-0.22677062451839447;11.66237735748291;0;51493;
970;213451;3701;99437;40;-0.22677062451839447;11.81289291381836;0;65216;
971;213671;3701;99437;40;-0.23477977514266968;12.115445137023926;0;35127;
972;213891;3701;99437;40;-0.23477977514266968;11.512375831604004;0;50619;
973;214111;3701;99436;40;-0.11524773389101028;11.96391487121582;0;50468;
974;214331;3701;99436;40;-0.11524773389101028;11.66237735748291;0;591;
975;214551;3701;99436;40;-0.11524773389101028;11.88833999633789;0;29179;
976;214771;3701;99436;40;-0.12325647473335266;11.81289291381836;0;1167;
977;214991;3701;99436;40;-0.12325647473335266;11.66237735748291;0;47303;
978;215211;3701;99436;40;-0.12325647473335266;11.81289291381836;0;37959;
979;215431;3701;99437;40;-0.2395247519016266;11.737570762634277;0;17538;
980;215651;3701;99437;40;-0.2395247519016266;11.66237735748291;0;12687;
981;215871;3701;99439;40;-0.40170612931251526;11.81289291381836;0;50141;
982;216091;3701;99439;40;-0.40170612931251526;11.66237735748291;0;18834;
983;216311;3701;99439;40;-0.40170612931251526;11.512375831604004;0;5685;
984;216531;3700;99438;40;-0.2948094606399536;11.88833999633789;0;49783;
985;216751;3700;99438;40;-0.2948094606399536;11.81289291381836;0;58163;
986;216971;3700;99438;40;-0.2948094606399536;11.81289291381836;0;5021;
987;217191;3701;99438;40;-0.3027002811431885;11.88833999633789;0;3152;
988;217411;3701;99438;40;-0.3027002811431885;12.420022964477539;0;35368;
989;217631;3701;99433;40;0.17572468519210815;12.039615631103516;0;56729;
990;217851;3701;99433;40;0.17572468519210815;11.81289291381836;0;60194;
991;218071;3701;99433;40;0.17572468519210815;12.420022964477539;0;50784;
992;218291;3701;99436;40;-0.14318795502185822;12.420022964477539;0;34724;
994;218731;3701;99436;40;-0.14318795502185822;12.267481803894043;0;64049;
995;218951;3701;99439;40;-0.40633073449134827;12.343688011169434;0;6953;
996;219171;3701;99439;40;-0.40633073449134827;12.343688011169434;0;29935;
997;219391;3701;99439;40;-0.40633073449134827;12.343688011169434;0;6782;
998;219611;3700;99437;40;-0.22860676050186157;12.420022964477539;0;12949;
999;219831;3700;99437;40;-0.22860676050186157;12.420022964477539;0;46923;
