"Number";"Time_ms";"Q1";"Q2";"Q3";"Q4";"Time";"crc"
1;1920;1.9079999923706055;0.8718000054359436;-0.01156722754240036;-0.06684406846761703;-0.4851420223712921;58517;
3;2275;2.2639999389648438;0.8749849200248718;-0.005974303465336561;-0.10269804298877716;-0.47309496998786926;60588;
5;3297;3.2860000133514404;0.72611403465271;-0.02381623163819313;-0.3123036026954651;-0.6120927929878235;4539;
7;3557;3.5460000038146973;0.6902149319648743;-0.031061898916959763;-0.37633150815963745;-0.6172625422477722;29782;
8;3673;3.6619999408721924;0.6772884726524353;-0.027322132140398026;-0.40795114636421204;-0.6116449236869812;34461;
9;3873;3.861999988555908;0.6567655205726624;-0.01066663023084402;-0.454835444688797;-0.60139000415802;43578;
11;4133;4.122000217437744;0.6201426386833191;-0.018967177718877792;-0.5179162621498108;-0.5889193415641785;14995;
13;4420;4.4079999923706055;0.5876842141151428;0.007720768917351961;-0.5860623121261597;-0.557762086391449;18736;
15;4680;4.669000148773193;0.5616533160209656;0.0469217486679554;-0.625978410243988;-0.5389758348464966;20947;
17;4953;4.941999912261963;0.5226507186889648;0.05919940397143364;-0.6804741024971008;-0.5101829767227173;31339;
19;5214;5.202000141143799;0.48156026005744934;0.05227256193757057;-0.7346002459526062;-0.47511026263237;35963;
21;5480;5.468999862670898;0.4383998513221741;0.034444864839315414;-0.7848497629165649;-0.4366120398044586;14592;
22;5599;5.5879998207092285;0.42226138710975647;0.034696727991104126;-0.8047550916671753;-0.4157651662826538;39723;
23;5818;5.807000160217285;0.3886895477771759;0.0668262168765068;-0.834109365940094;-0.3856373727321625;12775;
27;6352;6.341000080108643;0.29567548632621765;0.03401889652013779;-0.9115842580795288;-0.2836065888404846;35605;
29;6614;6.603000164031982;0.27222415804862976;0.06632687151432037;-0.9286485910415649;-0.24311839044094086;62156;
30;6731;6.71999979019165;0.26571154594421387;0.07924006879329681;-0.9340893626213074;-0.2249341905117035;32481;
31;6933;6.921999931335449;0.24994589388370514;0.11138230562210083;-0.9421125054359436;-0.1937655806541443;1504;
33;7194;7.182000160217285;0.20385661721229553;0.09250283986330032;-0.9643234610557556;-0.1413009911775589;48854;
35;7466;7.454999923706055;0.15430893003940582;0.07235480844974518;-0.9815793633460999;-0.08634568750858307;53638;
37;7753;7.742000102996826;0.1442279815673828;0.10975456982851028;-0.9822788238525391;-0.04775473475456238;32541;
