"Number";"Time_ms";"Accel x";"Accel y";"Accel z";"Gyro x";"Gyro y";"Gyro z";"Mag x";"Mag y";"Mag z";"crc"
157;25655;44;-20;-987;488;4760;3802;0;-19;-13;8526;
161;26176;53;-15;-1007;495;4760;3803;-19;0;0;35007;
162;26309;48;-10;-988;482;4811;3803;-19;0;0;22025;
163;26513;50;-9;-995;491;4745;3803;-19;0;0;23737;
164;26636;41;-14;-997;459;4684;3805;0;0;0;35133;
164;26636;41;-14;-997;459;4684;3805;0;0;0;35133;
165;26838;46;-8;-996;511;4793;3803;-19;0;0;35429;
166;26955;51;-12;-992;505;4729;3804;-19;-19;-13;15037;
167;27099;57;16;-991;491;4760;3803;-19;-19;-13;63020;
167;27099;57;16;-991;491;4760;3803;-19;-19;-13;63020;
169;27374;54;-10;-992;499;4758;3801;-19;-19;-13;36742;
169;27374;54;-10;-992;499;4758;3801;-19;-19;-13;36742;
170;27491;52;-20;-1005;469;4775;3800;0;-19;-13;1699;
171;27635;50;-12;-1000;492;4751;3804;0;-19;-13;24534;
171;27635;50;-12;-1000;492;4751;3804;0;-19;-13;24534;
173;27897;47;-37;-988;519;4755;3803;0;0;0;61856;
175;28170;41;-6;-993;497;4755;3803;-19;0;0;15106;
176;28382;50;-10;-991;501;4767;3804;-19;-19;-13;3575;
177;28665;48;-11;-1001;488;4760;3802;0;0;0;55046;
179;28924;43;-12;-989;513;4746;3805;-19;0;0;23887;
181;29184;39;-14;-1005;496;4753;3803;0;-19;-13;33019;
183;29443;44;-20;-986;487;4760;3802;-19;0;0;48073;
184;29572;55;-5;-996;496;4759;3802;-19;-19;-13;28772;
185;29855;40;-30;-992;512;4749;3804;0;-19;-13;30417;
186;29972;51;-6;-1004;398;4811;3793;-19;0;0;7993;
187;30172;65;-3;-1001;496;4765;3803;-19;-19;-13;19090;
189;30445;43;-23;-992;498;4759;3799;0;-19;-13;46930;
190;30561;78;0;-994;536;4726;3793;0;0;0;21174;
191;30776;45;-11;-993;496;4763;3802;-19;0;0;41697;
193;31041;76;-59;-979;494;4792;3783;0;0;0;57571;
195;31301;41;-13;-994;496;4753;3805;-19;-19;-13;6339;
196;31416;45;-7;-999;494;4760;3804;0;-19;-13;47702;
197;31617;53;-11;-994;496;4755;3803;-19;0;0;61457;
199;31903;55;-5;-993;509;4744;3806;-19;0;0;24634;
201;32163;45;-17;-994;465;4754;3799;-19;-19;-13;41331;
203;32423;56;38;-1007;447;4809;3803;0;0;0;47828;
