"Number";"Time_ms";"Temp BME";"Pressure";"Humidity";Height BME";"Lux";"State";"crc"
1;2134;2282;99411;56;0.0;8.9718017578125;0;63864;
2;3416;2284;99412;56;-0.03952072933316231;9.324751853942871;0;49884;
3;3991;2285;99412;56;-0.01964324340224266;8.070260047912598;0;41619;
4;4538;2285;99412;56;-0.01964324340224266;9.39574909210205;0;41435;
5;5071;2285;99412;56;-0.026889413595199585;10.549888610839844;0;9047;
6;5717;2285;99411;56;0.02683267742395401;10.476763725280762;0;31072;
7;6211;2285;99409;56;0.23225192725658417;9.824559211730957;0;44280;
8;6845;2285;99411;56;0.06865449994802475;10.113104820251465;0;52555;
9;7325;2285;99410;56;0.1241200640797615;10.04076862335205;0;43648;
10;7884;2285;99411;56;0.05051789805293083;12.115445137023926;0;13486;
11;8403;2286;99411;56;-0.0032040998339653015;17.476743698120117;0;48806;
12;9005;2286;99412;56;-0.024619273841381073;15.656281471252441;0;51067;
13;9539;2286;99408;56;0.24922524392604828;13.345788955688477;0;19867;
14;10120;2287;99411;56;-0.011295410804450512;6.146724224090576;0;10937;
15;10652;2286;99410;56;0.1386609971523285;5.388311862945557;0;32169;
16;11280;2287;99410;56;0.1519879847764969;6.018738269805908;0;27914;
17;11911;2287;99410;56;0.1519879847764969;5.95497989654541;0;60701;
18;12503;2287;99412;56;-0.050317078828811646;5.2023210525512695;0;43070;
19;13082;2287;99410;56;0.1551092565059662;4.713752269744873;0;14221;
20;13581;2287;99410;56;0.1551092565059662;4.895695209503174;0;61121;
21;14227;2288;99409;56;0.17362073063850403;5.017841815948486;0;62534;
22;14694;2288;99409;56;0.17362073063850403;4.774227619171143;0;33045;
23;15366;2288;99413;56;-0.12164514511823654;4.895695209503174;0;18771;
24;15994;2289;99409;56;0.22307047247886658;4.65344762802124;0;37760;
25;16528;2289;99409;56;0.22307047247886658;5.827934741973877;0;62407;
26;17066;2289;99411;56;0.017637858167290688;7.392983436584473;0;47972;
27;17612;2289;99411;56;0.033869434148073196;7.7976179122924805;0;46636;
28;18257;2288;99407;56;0.3317323625087738;8.483434677124023;0;28285;
29;18723;2289;99409;56;0.1681303232908249;6.9275431632995605;0;57193;
30;19408;2289;99409;56;0.2365574836730957;7.259264945983887;0;36243;
31;19984;2289;99409;56;0.19784818589687347;7.126133918762207;0;28644;
32;20520;2289;99410;56;0.09901774674654007;6.9275431632995605;0;18623;
33;21053;2289;99409;56;0.178340345621109;7.392983436584473;0;59597;
34;21643;2290;99411;56;0.06708794087171555;7.192626476287842;0;33296;
35;22162;2290;99410;56;0.10770229995250702;7.6621623039245605;0;12245;
36;22818;2290;99410;56;0.07470756024122238;8.138771057128906;0;11242;
37;23298;2290;99410;56;0.15403300523757935;12.039615631103516;0;14764;
38;24705;2291;99409;56;0.20569780468940735;13.112664222717285;0;33134;
39;25307;2291;99408;56;0.2967597544193268;15.574912071228027;0;22368;
40;25774;2291;99409;56;0.16668565571308136;7.4600605964660645;0;48863;
41;26425;2291;99409;56;0.21126410365104675;10.623146057128906;0;34018;
42;26957;2292;99410;56;0.10519231110811234;11.437564849853516;0;39705;
43;27493;2291;99409;56;0.20349179208278656;9.609549522399902;0;12992;
45;28783;2292;99409;56;0.1974761188030243;7.527283191680908;0;64471;
46;29302;2291;99414;56;-0.251961886882782;12.420022964477539;0;1864;
47;30084;2292;99413;56;-0.144290491938591;13.112664222717285;0;39935;
48;30674;2292;99409;56;0.18711310625076294;13.894096374511719;0;22658;
49;31160;2293;99411;56;0.04149503633379936;11.362882614135742;0;45770;
50;31762;2293;99412;56;-0.06838837265968323;10.04076862335205;0;3058;
51;32282;2292;99408;56;0.2574515640735626;10.99140739440918;0;4634;
52;32815;2292;99413;56;-0.1295819878578186;9.253889083862305;0;28230;
53;33414;2293;99410;56;0.09194027632474899;9.681085586547852;0;57774;
54;33996;2293;99411;56;0.06740246713161469;9.681085586547852;0;26757;
55;34642;2293;99408;56;0.24435049295425415;13.423745155334473;0;700;
56;35123;2293;99410;56;0.09125550836324692;12.267481803894043;0;32509;
57;35642;2293;99408;56;0.24542608857154846;9.1831636428833;0;55637;
58;36311;2293;99408;56;0.28238028287887573;8.345149040222168;0;43494;
59;36969;2293;99409;56;0.19116735458374023;6.599543571472168;0;39523;
60;37438;2294;99409;56;0.17234812676906586;5.6385602951049805;0;59111;
61;38060;2294;99410;56;0.10239914059638977;5.764650821685791;0;51881;
62;38581;2294;99410;56;0.0856325700879097;8.138771057128906;0;3603;
63;39115;2294;99410;56;0.0721411183476448;9.752756118774414;0;9674;
65;40298;2294;99408;56;0.3045768439769745;12.957869529724121;0;46742;
66;41011;2295;99410;56;0.07771474123001099;9.11257266998291;0;58524;
67;41564;2295;99413;56;-0.14327841997146606;8.831578254699707;0;59761;
68;42082;2294;99409;56;0.19537337124347687;9.896496772766113;0;13057;
69;42628;2295;99409;56;0.22045189142227173;9.11257266998291;0;60268;
70;43352;2295;99411;56;0.0013621627585962415;12.115445137023926;0;46975;
71;43819;2295;99412;56;-0.0891662985086441;10.696555137634277;0;33651;
72;45282;2296;99415;56;-0.29681333899497986;12.191399574279785;0;62931;
73;45762;2296;99414;56;-0.2276948243379593;13.190247535705566;0;34874;
74;46530;2296;99409;56;0.2032545804977417;13.267955780029297;0;50600;
75;47107;2296;99408;56;0.28464677929878235;13.190247535705566;0;43245;
76;47637;2296;99407;56;0.39698654413223267;13.501824378967285;0;7351;
77;48272;2297;99409;56;0.2107432335615158;13.894096374511719;0;21012;
